Core_1,,,,
EM334,6,123,null,Introduction to GIS and Spatial Thinking
EM336,6,123,null,Remote Sensing and Image Analysis
GEOL312,6,123,null,Geophysics and Applied GIS for Earth Sciences
LING101,6,123,null,Introduction to Linguistics
LING102,6,123,null,Foundations of Linguistics
LING365,6,123,null,Phonetics and Phonology
LING369,6,123,null,Morphology and Syntax
AMTH250,6,123,null,Introduction to Programming in The Sciences
MTHS110,6,123,null,Quantitative Skills with Applications
PMTH212,6,123,null,Multivariable Calculus
PMTH213,6,123,null,Linear Algebra
PMTH331,6,123,null,Introduction to Topology
PMTH332,6,123,null,Abstract Algebra
PMTH333,6,123,null,Complex Analysis
PMTH338,6,123,null,Number Theory
PMTH339,6,123,null,Differential Equations
PHYS131,6,123,null,Applied Physics I
PHYS132,6,123,null,Applied Physics II
PHYS204,6,123,null,Electromagnetism 1
PHYS207,6,123,null,Fluid Mechanics
PHYS211,6,123,null,Introduction to Electronics
PHYS301,6,123,null,Microscopic to Macroscopic Physics and Chemistry
PHYS311,6,123,null,Digital Electronic Systems
PHYS313,6,123,null,Applied Photonics
PSYC101,6,123,null,Introductory Psychology I
PSYC102,6,123,null,Introductory Psychology II
PSYC206,6,123,null,Cognitive Psychology
SCI210,6,123,null,Introduction to Scientific Programming
SOCY100,6,123,null,Introduction to Sociology
SOCY110,6,123,null,Foundations of Society
SOCY313,6,123,null,Social Policy
SOCY345,6,123,null,Mixed Methods in Social Research
MATH260,6,123,null,Probability and Simulation
STAT270,6,123,null,Inference
STAT320,6,123,null,Advanced Statistical Modelling
Double_Major,,,,
Prescribed,,,,
COSC250,6,1,null,Programming Paradigms
COSC260,6,2,null,Web Programming
STAT210,6,1,null,Statistical Modelling and Experimental Design
COSC330,6,2,null,Parallel and Distributed Computing
COSC340,6,1,null,Computer Networks and Information Security
COSC350,6,2,null,Artificial Intelligence
COSC360,6,2,null,Advanced Web Programming
COSC370,6,1,null,User Experience and Interaction Design
COSC380,6,2,null,Algorithms in Machine Learning
STAT330,6,1,null,Statistical Learning
